Header 	 Footer 	 Next 	 State               	 Ctrlr                     	 Next Var
------   ------      ----    ------                  ------------------------    ---------------------   
Yes    	 Yes    	 Yes  	 /Settings           	 SettingsController        	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /AppHelp            	 AppHelpController         	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /MessagesArchive    	 MessagesArchiveController 	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /CompletedOrders    	 CompletedOrdersController 	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /TempOrders         	 TempOrdersController      	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /ExceptionHours     	 ExceptionHoursController  	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /Options            	 OptionsController         	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /Hours              	 HoursController           	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /SbmtExcpts         	 SbmtExcptsController      	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /SubmitWO           	 SubmitWOController        	 {{var.jobtype}}-Home
Yes    	 Yes    	 Yes  	 /LogAssist          	 LogAssistController       	 /SubmitWO
Yes    	 Yes    	 Yes  	 /TempWorkOrder01    	 TempWorkOrder01Controller 	 /WorkOrderCard
Yes    	 Yes    	 Yes  	 /Toppers-WO-01      	 ToppersWOController       	 /Toppers-WO-02
Yes    	 Yes    	 Yes  	 /Toppers-WO-02      	 ToppersWOController       	 /Toppers-WO-03
Yes    	 Yes    	 Yes  	 /Toppers-WO-03      	 ToppersWOController       	 /Toppers-WO-04
Yes    	 Yes    	 Yes  	 /Toppers-WO-04      	 ToppersWOController       	 /Toppers-WO-05
Yes    	 Yes    	 Yes  	 /Toppers-WO-05      	 ToppersWOController       	 /Toppers-Home
Yes    	 Yes    	 Yes  	 /Toppers-Home       	 ToppersHomeController     	 /Toppers-WO-01
Yes    	 No     	 No   	 /Toppers-LogShift   	 ToppersLogShiftController 	
Yes    	 Yes    	 Yes  	 /WorkOrderCard      	 WorkOrderCardController   	 /SubmitWO
Yes    	 Yes    	 Yes  	 /UnitNumber         	 UnitNumberController      	 /WorkOrderCard
Yes    	 Yes    	 Yes  	 /WONum              	 WONumController           	 /UnitNumber
Yes    	 Yes    	 Yes  	 /VIN-Input          	 VINInputController        	 /WONum
Yes    	 Yes    	 Yes  	 /CaptureImages      	 ImageCaptureController    	 /VIN-Input
Yes    	 Yes    	 No   	 /OpenWorkOrders     	 OpenMWOController         	
Yes    	 Yes    	 Yes  	 /CameraInstructions 	 CamInstCntrl              	 /CaptureImages
Yes    	 Yes    	 Yes  	 /Mechanics-Home     	 MechanicsHomeController   	 /CameraInstructions
Yes    	 Yes    	 Yes  	 /LogShiftInfo1      	 LogShiftInfoController    	
Yes    	 No     	 No   	 /Mechanics-LogShift 	 LogShiftController        	
Yes    	 No     	 No   	 /Messages           	 MessagesController        	
Yes    	 No     	 No   	 /Login              	 LoginController           	
No     	 No     	 No   	 /[Startup]          	 PossibleNewController     	
